Class 1,Class 2,Number of Files,MMD Score
hotbar,darkkomet,2,0.9383353549564218
hotbar,delf,2,1.22618200414564
hotbar,gamehack,2,0.9499144319304195
hotbar,fareit,2,1.2601888666071883
multiplug,benign,2,0.9115616250924516
multiplug,gandcrab,2,1.253716733839158
multiplug,downloadguide,2,1.2536400229923306
multiplug,firseria,2,1.2522033745285377
multiplug,emotet,2,1.2385565368828706
multiplug,driverpack,2,1.2511335496247482
multiplug,domaiq,2,1.245034418080867
multiplug,hotbar,2,1.2527192341904936
multiplug,dlhelper,2,1.2476829100718587
multiplug,downloadadmin,2,1.253266743075989
multiplug,gamarue,2,1.2230656802734226
multiplug,darkkomet,2,0.9278249744109661
multiplug,delf,2,1.2169066199441305
multiplug,gamehack,2,0.940477105989338
multiplug,fareit,2,1.2513280727685696
dlhelper,benign,2,0.9156867961029906
dlhelper,gandcrab,2,1.257587709367341
dlhelper,downloadguide,2,1.2573750637946945
dlhelper,firseria,2,1.2561834586637433
dlhelper,emotet,2,1.2424469534907383
dlhelper,driverpack,2,1.2548785437831638
dlhelper,domaiq,2,1.2488262621520636
dlhelper,hotbar,2,1.2565852918015592
dlhelper,multiplug,2,1.2476829100718585
dlhelper,downloadadmin,2,1.257013066735499
dlhelper,gamarue,2,1.2269615442520574
dlhelper,darkkomet,2,0.9321109100208027
dlhelper,delf,2,1.220864248825967
dlhelper,gamehack,2,0.9444998285868121
dlhelper,fareit,2,1.2550797272976786
downloadadmin,benign,2,0.9217696970658714
downloadadmin,gandcrab,2,1.2631097834593956
downloadadmin,downloadguide,2,1.2628983387602566
downloadadmin,firseria,2,1.2616904361635797
downloadadmin,emotet,2,1.2480555836349154
downloadadmin,driverpack,2,1.2600470854151187
downloadadmin,domaiq,2,1.2544105945880493
downloadadmin,hotbar,2,1.2621133137034977
downloadadmin,multiplug,2,1.2532667430759887
downloadadmin,dlhelper,2,1.257013066735499
downloadadmin,gamarue,2,1.2325119798561306
downloadadmin,darkkomet,2,0.9388518933242073
downloadadmin,delf,2,1.2266395290437822
downloadadmin,gamehack,2,0.9503799157349003
downloadadmin,fareit,2,1.2606197042363734
gamarue,benign,2,0.8881811092141046
gamarue,gandcrab,2,1.2333065534329974
gamarue,downloadguide,2,1.2330838817585978
gamarue,firseria,2,1.2318530505434937
gamarue,emotet,2,1.2176226514970723
gamarue,driverpack,2,1.230496911656454
gamarue,domaiq,2,1.2242568480615996
gamarue,hotbar,2,1.2322491918710854
gamarue,multiplug,2,1.2230656802734226
gamarue,dlhelper,2,1.2269615442520576
gamarue,downloadadmin,2,1.2325119798561306
gamarue,darkkomet,2,0.9034013691046107
gamarue,delf,2,1.1954936230359072
gamarue,gamehack,2,0.918601767747854
gamarue,fareit,2,1.2306999596902228
darkkomet,benign,2,0.5839538455899896
darkkomet,gandcrab,2,0.9395255684200092
darkkomet,downloadguide,2,0.9392740168841887
darkkomet,firseria,2,0.9378678842673149
darkkomet,emotet,2,0.9216172440880696
darkkomet,driverpack,2,0.9363272077610568
darkkomet,domaiq,2,0.929218326955643
darkkomet,hotbar,2,0.9383353549564218
darkkomet,multiplug,2,0.9278249744109661
darkkomet,dlhelper,2,0.9321109100208027
darkkomet,downloadadmin,2,0.9388518933242073
darkkomet,gamarue,2,0.9034013691046107
darkkomet,delf,2,0.8967612988352822
darkkomet,gamehack,2,0.6177790309511753
darkkomet,fareit,2,0.9365470090292445
delf,benign,2,0.8825619596803613
delf,gandcrab,2,1.2272353867373815
delf,downloadguide,2,1.2270137835117927
delf,firseria,2,1.225776678119542
delf,emotet,2,1.2115435000000416
delf,driverpack,2,1.2241072054257063
delf,domaiq,2,1.2181101505515968
delf,hotbar,2,1.22618200414564
delf,multiplug,2,1.2169066199441305
delf,dlhelper,2,1.220864248825967
delf,downloadadmin,2,1.2266395290437822
delf,gamarue,2,1.1954936230359072
delf,darkkomet,2,0.8967612988352822
delf,gamehack,2,0.9123501750611491
delf,fareit,2,1.2246278853648918
gamehack,benign,2,0.6047736642325927
gamehack,gandcrab,2,0.9509558662199182
gamehack,downloadguide,2,0.9507584500854969
gamehack,firseria,2,0.949482523082982
gamehack,emotet,2,0.9349926093785468
gamehack,driverpack,2,0.9481038574066881
gamehack,domaiq,2,0.9417353828735213
gamehack,hotbar,2,0.9499144319304195
gamehack,multiplug,2,0.940477105989338
gamehack,dlhelper,2,0.9444998285868121
gamehack,downloadadmin,2,0.9503799157349003
gamehack,gamarue,2,0.9186017677478538
gamehack,darkkomet,2,0.6177790309511753
gamehack,delf,2,0.9123501750611491
gamehack,fareit,2,0.948329607123002
fareit,benign,2,0.9196280260451378
fareit,gandcrab,2,1.2611883963212933
fareit,downloadguide,2,1.2609761323514683
fareit,firseria,2,1.259790620960261
fareit,emotet,2,1.2461166398413095
fareit,driverpack,2,1.2584878964138624
fareit,domaiq,2,1.252467701962964
fareit,hotbar,2,1.2601888666071883
fareit,multiplug,2,1.2513280727685694
fareit,dlhelper,2,1.2550797272976788
fareit,downloadadmin,2,1.2606197042363734
fareit,gamarue,2,1.2306999596902228
fareit,darkkomet,2,0.9365470090292445
fareit,delf,2,1.2246278853648918
fareit,gamehack,2,0.948329607123002
benign,gandcrab,3,0.9744398968079852
benign,downloadguide,3,0.973851206096465
benign,firseria,3,0.9708152384873653
benign,emotet,3,0.9557019025089454
benign,driverpack,3,0.9712051613993223
benign,domaiq,3,0.9633048453830874
benign,hotbar,3,0.9733822915429946
benign,multiplug,3,0.9663442783399373
benign,dlhelper,3,0.9698883744027023
benign,downloadadmin,3,0.9737885686967236
benign,gamarue,3,0.6528446111365626
benign,darkkomet,3,0.6296990483921203
benign,delf,3,0.947555152833321
benign,gamehack,3,0.6936829105621605
benign,fareit,3,0.9715941332296119
gandcrab,benign,3,0.9744398968079852
gandcrab,downloadguide,3,1.2632013245923672
gandcrab,firseria,3,1.2601185428958965
gandcrab,emotet,3,1.246255627166309
gandcrab,driverpack,3,1.2608247786643592
gandcrab,domaiq,3,1.253299358031883
gandcrab,hotbar,3,1.2627382542315029
gandcrab,multiplug,3,1.2560630904701244
gandcrab,dlhelper,3,1.25946666448425
gandcrab,downloadadmin,3,1.2631187399137043
gandcrab,gamarue,3,0.9520383472788876
gandcrab,darkkomet,3,0.9297630646346291
gandcrab,delf,3,1.2383717815905957
gandcrab,gamehack,3,0.9852179803740957
gandcrab,fareit,3,1.2610805115493335
downloadguide,benign,3,0.9738512060964651
downloadguide,gandcrab,3,1.2632013245923672
downloadguide,firseria,3,1.2598036546986637
downloadguide,emotet,3,1.245717010425404
downloadguide,driverpack,3,1.2601336291437328
downloadguide,domaiq,3,1.2527671396975393
downloadguide,hotbar,3,1.2622106213304056
downloadguide,multiplug,3,1.255632030837341
downloadguide,dlhelper,3,1.2589380184713326
downloadguide,downloadadmin,3,1.262592280778044
downloadguide,gamarue,3,0.9522320290385999
downloadguide,darkkomet,3,0.9291242914005602
downloadguide,delf,3,1.237829292777465
downloadguide,gamehack,3,0.9846870007183604
downloadguide,fareit,3,1.260552209202225
firseria,benign,3,0.9708152384873653
firseria,gandcrab,3,1.2601185428958965
firseria,downloadguide,3,1.2598036546986637
firseria,emotet,3,1.2427761018167987
firseria,driverpack,3,1.2574142792766265
firseria,domaiq,3,1.2498577528763004
firseria,hotbar,3,1.2592573615217275
firseria,multiplug,3,1.2525380223919282
firseria,dlhelper,3,1.256052249913259
firseria,downloadadmin,3,1.259679782793913
firseria,gamarue,3,0.9487347098309669
firseria,darkkomet,3,0.925640665946941
firseria,delf,3,1.2348726070786595
firseria,gamehack,3,0.9816632337668367
firseria,fareit,3,1.2576736207660573
emotet,benign,3,0.9557019025089454
emotet,gandcrab,3,1.2462556271663088
emotet,downloadguide,3,1.245717010425404
emotet,firseria,3,1.2427761018167987
emotet,driverpack,3,1.2432784648696131
emotet,domaiq,3,1.2355805223485445
emotet,hotbar,3,1.245239137351918
emotet,multiplug,3,1.238446109448359
emotet,dlhelper,3,1.241892389504503
emotet,downloadadmin,3,1.2454995813903396
emotet,gamarue,3,0.9317432461889265
emotet,darkkomet,3,0.9085273372152597
emotet,delf,3,1.2203679216097303
emotet,gamehack,3,0.9669871667410928
emotet,fareit,3,1.2435391807547251
driverpack,benign,3,0.9712051613993223
driverpack,gandcrab,3,1.2608247786643592
driverpack,downloadguide,3,1.2601336291437328
driverpack,firseria,3,1.2574142792766265
driverpack,emotet,3,1.2432784648696131
driverpack,domaiq,3,1.2503557731752695
driverpack,hotbar,3,1.2598280663639332
driverpack,multiplug,3,1.2532321767700836
driverpack,dlhelper,3,1.256547007815747
driverpack,downloadadmin,3,1.2599058863620303
driverpack,gamarue,3,0.9493709645618196
driverpack,darkkomet,3,0.9262379414173005
driverpack,delf,3,1.2351340748335176
driverpack,gamehack,3,0.9821918218502242
driverpack,fareit,3,1.2581622266795707
domaiq,benign,3,0.9633048453830874
domaiq,gandcrab,3,1.253299358031883
domaiq,downloadguide,3,1.2527671396975393
domaiq,firseria,3,1.2498577528763004
domaiq,emotet,3,1.2355805223485445
domaiq,driverpack,3,1.2503557731752695
domaiq,hotbar,3,1.2522968313196088
domaiq,multiplug,3,1.2456186204989095
domaiq,dlhelper,3,1.248980506826006
domaiq,downloadadmin,3,1.2526818780731974
domaiq,gamarue,3,0.9402648862703444
domaiq,darkkomet,3,0.9171355407766004
domaiq,delf,3,1.2275977857645377
domaiq,gamehack,3,0.9743485369525396
domaiq,fareit,3,1.2506158593860814
hotbar,benign,3,0.9733822915429946
hotbar,gandcrab,3,1.2627382542315029
hotbar,downloadguide,3,1.2622106213304054
hotbar,firseria,3,1.2592573615217275
hotbar,emotet,3,1.245239137351918
hotbar,driverpack,3,1.2598280663639332
hotbar,domaiq,3,1.2522968313196088
hotbar,multiplug,3,1.2550564204317514
hotbar,dlhelper,3,1.258471407820601
hotbar,downloadadmin,3,1.2621269635998236
hotbar,gamarue,3,0.9514729632124351
hotbar,darkkomet,3,0.928555552465901
hotbar,delf,3,1.2373424799194481
hotbar,gamehack,3,0.984126732574069
hotbar,fareit,3,1.26008539872786
multiplug,benign,3,0.9663442783399374
multiplug,gandcrab,3,1.2560630904701244
multiplug,downloadguide,3,1.255632030837341
multiplug,firseria,3,1.2525380223919282
multiplug,emotet,3,1.238446109448359
multiplug,driverpack,3,1.2532321767700836
multiplug,domaiq,3,1.2456186204989095
multiplug,hotbar,3,1.2550564204317514
multiplug,dlhelper,3,1.2518563259547313
multiplug,downloadadmin,3,1.2555364217014515
multiplug,gamarue,3,0.9427976506792188
multiplug,darkkomet,3,0.920576552595231
multiplug,delf,3,1.2305340746903366
multiplug,gamehack,3,0.9773084760288512
multiplug,fareit,3,1.25348409164965
dlhelper,benign,3,0.9698883744027023
dlhelper,gandcrab,3,1.25946666448425
dlhelper,downloadguide,3,1.2589380184713324
dlhelper,firseria,3,1.256052249913259
dlhelper,emotet,3,1.241892389504503
dlhelper,driverpack,3,1.256547007815747
dlhelper,domaiq,3,1.248980506826006
dlhelper,hotbar,3,1.258471407820601
dlhelper,multiplug,3,1.2518563259547313
dlhelper,downloadadmin,3,1.2588507677833491
dlhelper,gamarue,3,0.9477445166661239
dlhelper,darkkomet,3,0.9243233561071744
dlhelper,delf,3,1.2339747669587555
dlhelper,gamehack,3,0.9807847063653042
dlhelper,fareit,3,1.2568037792577045
downloadadmin,benign,3,0.9737885686967236
downloadadmin,gandcrab,3,1.2631187399137043
downloadadmin,downloadguide,3,1.262592280778044
downloadadmin,firseria,3,1.259679782793913
downloadadmin,emotet,3,1.2454995813903396
downloadadmin,driverpack,3,1.2599058863620303
downloadadmin,domaiq,3,1.2526818780731974
downloadadmin,hotbar,3,1.2621269635998236
downloadadmin,multiplug,3,1.2555364217014515
downloadadmin,dlhelper,3,1.2588507677833491
downloadadmin,gamarue,3,0.9511152073850996
downloadadmin,darkkomet,3,0.9290228008061016
downloadadmin,delf,3,1.2377407651439225
downloadadmin,gamehack,3,0.9845993453852524
downloadadmin,fareit,3,1.260467999828941
gamarue,benign,3,0.6528446111365626
gamarue,gandcrab,3,0.9520383472788876
gamarue,downloadguide,3,0.9522320290385999
gamarue,firseria,3,0.9487347098309671
gamarue,emotet,3,0.9317432461889262
gamarue,driverpack,3,0.9493709645618196
gamarue,domaiq,3,0.9402648862703444
gamarue,hotbar,3,0.9514729632124351
gamarue,multiplug,3,0.9427976506792188
gamarue,dlhelper,3,0.9477445166661238
gamarue,downloadadmin,3,0.9511152073850997
gamarue,darkkomet,3,0.5876554830586322
gamarue,delf,3,0.923036597103304
gamarue,gamehack,3,0.6677628246359376
gamarue,fareit,3,0.9496170261434376
darkkomet,benign,3,0.6296990483921203
darkkomet,gandcrab,3,0.9297630646346291
darkkomet,downloadguide,3,0.9291242914005602
